Product Sk,siteId,skuId,Unit Cost
hbi|eu|nl|47864,40,47864,1.39
hbi|eu|nl|49708,40,49708,4
hbi|eu|nl|47873,40,47873,1.43
hbi|eu|nl|50272,40,50272,13.3
hbi|eu|nl|4936,40,4936,5.39
hbi|eu|nl|50369,40,50369,1.87
hbi|eu|nl|50846,40,50846,2.85
hbi|eu|nl|5061,40,5061,0.99
hbi|eu|nl|50979,40,50979,6.76
hbi|eu|nl|50639,40,50639,2.76
hbi|eu|nl|51124,40,51124,30
hbi|eu|nl|50807,40,50807,4.06
hbi|eu|nl|51439,40,51439,1.28
hbi|eu|nl|50968,40,50968,6.43
hbi|eu|nl|525,40,525,1.11
hbi|eu|nl|50982,40,50982,4.61
hbi|eu|nl|52775,40,52775,12.62
hbi|eu|nl|50988,40,50988,4.24
hbi|eu|nl|53249,40,53249,6.06
hbi|eu|nl|50989,40,50989,5.14
hbi|eu|nl|53321,40,53321,10.75
hbi|eu|nl|51126,40,51126,31.68
hbi|eu|nl|53322,40,53322,7.8
hbi|eu|nl|51937,40,51937,9.04
hbi|eu|nl|5365,40,5365,1.59
hbi|eu|nl|51939,40,51939,8.42
hbi|eu|nl|56537,40,56537,2.84
hbi|eu|nl|52236,40,52236,4.91
hbi|eu|nl|56584,40,56584,1.3
hbi|eu|nl|52650,40,52650,3.56
